Conjunto de datos,Descripción del conjunto de datos,Recurso de datos,Descripción del recurso de datos,Fecha publicación 2026,Periodicidad de publicación,Área que genera el recurso de datos,Importancia del recurso,Población objetivo o sector de uso
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Resumen ,"Contiene conteos y porcentajes, para los sujetos obligados de la Administración Pública Federal, de las solicitudes de acceso a la información pública recibidas, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",mayo,Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Resumen ,"Contiene conteos y porcentajes, para los sujetos obligados de la Administración Pública Federal, de las solicitudes de acceso a la información pública recibidas, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",agosto,Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Resumen ,"Contiene conteos y porcentajes, para los sujetos obligados de la Administración Pública Federal, de las solicitudes de acceso a la información pública recibidas, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",noviembre,Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Resumen ,"Contiene conteos y porcentajes, para los sujetos obligados de la Administración Pública Federal, de las solicitudes de acceso a la información pública recibidas, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",Febrero (2027),Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Tipo de respuesta otorgada en las solicitudes de acceso a la información,"Contiene los conteos de las solicitudes de acceso a la información publica recibidas, por tipo de respuesta otorgada, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",mayo,Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Tipo de respuesta otorgada en las solicitudes de acceso a la información,"Contiene los conteos de las solicitudes de acceso a la información publica recibidas, por tipo de respuesta otorgada, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",agosto,Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Tipo de respuesta otorgada en las solicitudes de acceso a la información,"Contiene los conteos de las solicitudes de acceso a la información publica recibidas, por tipo de respuesta otorgada, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",noviembre,Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Tipo de respuesta otorgada en las solicitudes de acceso a la información,"Contiene los conteos de las solicitudes de acceso a la información publica recibidas, por tipo de respuesta otorgada, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",Febrero (2027),Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Medio de entrada de las solicitudes de acceso a la información pública,"Contiene los conteos de las solicitudes de acceso a la información pública recibidas, por tipo de medio de ingreso de la solicitud, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",mayo,Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Medio de entrada de las solicitudes de acceso a la información pública,"Contiene los conteos de las solicitudes de acceso a la información pública recibidas, por tipo de medio de ingreso de la solicitud, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",agosto,Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
Solicitudes de Acceso a la Información Pública de los sujetos obligados de la Administración Pública Federal,"Son los datos que se generan en la Plataforma Nacional de Transparencia,  de las solicitudes de acceso a la información publica recibidas y atendidas por los sujetos obligados de la Administración Pública Federal, competencia de Transparencia para el Pueblo como autoridad garante. ",Medio de entrada de las solicitudes de acceso a la información pública,"Contiene los conteos de las solicitudes de acceso a la información pública recibidas, por tipo de medio de ingreso de la solicitud, durante el trimestre inmediato anterior, previo a la fecha de publicación de la información",noviembre,Trimestral,Dirección General de Asuntos Internacionales e Información,"Permite entender el comportamiento de las solicitudes de acceso a la información pública, para los sujetos obligados competencia de Transparencia para el Pueblo","Población general, sociedad civil, academia, sujetos obligados, autoridades garantes"
